ruta,tipo,bytes,sha256
src/main/res/drawable/preview_slider_track.xml,drawable,218,df22189297279ff16a987baff89506ed408bde62b18c587bcdec555e719ffe28
src/main/res/drawable/preview_small_selected.xml,drawable,255,059312bbfd7998d359bb2ed32c7709610f2203b0b5f371db1e5d181fd5604c8d
src/main/res/drawable/preview_small_unselected.xml,drawable,255,c0ce829ebef797dd4cd4038ffd970e9a18b96b5d1f0a526ca8a58363296a1fd5
src/main/res/drawable/preview_surface_dark.xml,drawable,217,06788e9b46698fba186cce90fbedb0256e42e4e769ae6cdc4a1df0b1940907f7
src/main/res/drawable/preview_surface_dark_stroke.xml,drawable,276,e385beddfa99d0ad6d00d524a0cc36887c49b0568258c42f8ff8869e6fa03d30
src/main/res/drawable/preview_switch_off.xml,drawable,202,0aee640b8c1894ab6de442afde7984607aff66a19e86ab1847949aeb6c9c4894
src/main/res/drawable/preview_switch_on.xml,drawable,202,68da6228761d4980a657e02abf2d3263e17e0ffd11b22f2c2949ae1dc6ad9912
src/main/res/drawable/preview_tag_personal.xml,drawable,312,bf0f72238afb1ce2cd5157d6d0dfba08481e774795f4ce8941ede95ff33461e3
src/main/res/drawable/preview_tag_work.xml,drawable,312,637df967041101ac79cb2b4b0614db587e18f4da2330d491fbe43cbe99038596
src/main/res/drawable/preview_thumb_white.xml,drawable,165,30917bb7784db22389fb09835f702af8e93757b0caf693c1beac939596f175c7
src/main/res/drawable/preview_translucent_panel.xml,drawable,280,86493c1796a24d6a887025abb308db175939918b0c77e6599389f53cbe8147a2
src/main/res/drawable/preview_video_surface.xml,drawable,202,8def33476538df0b7d9f9f84aab2410db304e67b883897a48f31193ba625413c
src/main/res/drawable/reminder_notification_accent.xml,drawable,218,9779ada928a66f9f9a11c4a4b12af37b57de6a67541c895f8e16cbc9061b8bab
src/main/res/drawable/reminder_notification_panel.xml,drawable,219,3db2cab881bb6dc05d2f00df07e8ad3de428b78e96d2d46d8147132b9a7fa6e7
src/main/res/drawable/splash_window_background.xml,drawable,859,2fe415b04346d7092f9467bc53d10f594b791a9c7c427ee5978306db2797c63d
src/main/res/drawable/widget_action_background.xml,drawable,337,d678b3370556ca24a4e58514cc6764b3520b4c0dc76a1340f9727bb0e547874f
src/main/res/drawable/widget_action_circle_dark.xml,drawable,237,2bb50904cf0cfd3dfbfd6e57f08c33c0c18b040e7717965bc5be827f5d704280
src/main/res/drawable/widget_action_circle_light.xml,drawable,237,b42482b8c8525385b5c997b147441cee04fbf19c2127b639a4c102edea824e0a
src/main/res/drawable/widget_action_primary_background.xml,drawable,337,91a8a84b2ca94f87d850e8a7d50b0f9ff144a39f0fad0d4a4a8d06b6b7886667
src/main/res/drawable/widget_action_primary_dark.xml,drawable,176,3809485d2a2796c1af53667718004ef7873c7af6868a5e1d29afb4b00a7ea81d
src/main/res/drawable/widget_action_primary_light.xml,drawable,176,500d2a02ae63e18bc7eac7ff7367fe9c21e377dfcfeff8401aab675af112cdca
src/main/res/drawable/widget_background.xml,drawable,369,f4731d138ac1bf26ecd2b2806c5bb9bda9da9c21b31a4ffc655990330d7add48
src/main/res/drawable/widget_badge_background.xml,drawable,219,efd342b1e5f7a54653c5c2b3cab0480ba80f261eff2feda326a6c11e372e5add
src/main/res/drawable/widget_chip_dark.xml,drawable,280,d364410e5f5782bd7c50d427408222c788047868b088df6db768c69e42d7f86c
src/main/res/drawable/widget_chip_light.xml,drawable,280,cca1ab4b1292dec00c5e1b1b5f8e8359ff10dbb16eee2c7ab033e4d5cae24047
src/main/res/drawable/widget_collection_background.xml,drawable,337,040dd44027dad2d6828eebc30e2c837931502fa89bd7c0a1a9be2570ccaccf17
src/main/res/drawable/widget_count_pill_dark.xml,drawable,219,3444215af054deec7c6ee55c2e5d54495798f2b0c694df8d22458392eb664120
src/main/res/drawable/widget_count_pill_light.xml,drawable,219,4d01b102357939350ecad5a291888d50d89c6ea9c2479ab0887f5d0c1e731132
src/main/res/drawable/widget_detail_card_dark.xml,drawable,280,453d567106459df0bc590a198ceb39396ecfc64f931b770beac967a3d17ca7ac
src/main/res/drawable/widget_detail_card_light.xml,drawable,280,6da314a70b8a677162803b054787305b23e48b461001737081ff440a1b6a0200
src/main/res/drawable/widget_focus_background.xml,drawable,369,ccc11c1fd79574d4532104e8a1bef8f4f1c89f9040f508045e445f6fb41f1162
src/main/res/drawable/widget_ic_add.xml,drawable,273,08578b9aa7d79747ecea82b12c319172084bd7e2e1c51afe0ecd40f9796f1012
src/main/res/drawable/widget_ic_file.xml,drawable,287,ee0b92137c65470a7acd3d97fc59649a241dfdc902f2099a5550aafd40a1c5fe
src/main/res/drawable/widget_ic_grid.xml,drawable,288,53c68eef7ec0eb1f7d20dc962b76b13368c984d51bd2915022e5e00e1377b4da
src/main/res/drawable/widget_ic_image.xml,drawable,382,8c22164a482ed6b85b344cb10b41a9768f10feb341baeeafe4ccca7fc5dad308
src/main/res/drawable/widget_ic_person.xml,drawable,314,faf71353e822b423d37759f37ead86fff60724ece5269d3eb40986d46787719c
src/main/res/drawable/widget_ic_pin.xml,drawable,288,332f4732ccd62bad41f36ea85687ae4f2575797a56b8afd18c0bb59223164230
src/main/res/drawable/widget_ic_pin_outline.xml,drawable,288,b8d903664bd07c541800d0a5f18afcac73ea34c204e4326d14f787df136a7035
src/main/res/drawable/widget_ic_search.xml,drawable,364,e32ceaedb52f19ec5ba8a1d62f122a3bc99df9493380050618b050599a0d10ce
