archivo,sha256,lineas,bytes,imports,declaraciones,funciones,clases_objetos_interfaces,referencias_recursos
app/src/main/java/com/example/mynotes/ui/theme/SliderColors.kt,c0a82363d0763fa4e2c7604f0f10f364b69d7592539e5062feddafd65dfe94ea,57,2260,2,2,1,1,0
app/src/main/java/com/example/mynotes/ui/theme/SourceCodeInfoScreen.kt,ac7747acb83bd6b6ea3e76ef187aca5d5903c4c211b20c0c3db50a728f16398d,220,14079,48,4,4,0,45
app/src/main/java/com/example/mynotes/ui/theme/Theme.kt,130e512bbdbf3177078209c182ce549511fb038baaee6e644db86015f22c07b1,269,13214,14,13,13,0,0
app/src/main/java/com/example/mynotes/ui/theme/Type.kt,3cbc87c8410800d6a172f0b34d6bf540284bda898aa4e8b4b8f1f58c153264ec,28,946,5,0,0,0,0
app/src/main/java/com/example/mynotes/update/GitHubUpdateManager.kt,28439ad2edaaa453050ade9c88515f1bfc0895b9d5502b965e368c87dfd79b30,228,10753,16,14,7,7,0
app/src/main/java/com/example/mynotes/viewmodel/NoteViewModel.kt,5550157f9fe02c9e1aa09780223e9c0e96e3fe26c4402a8e6858020aca5fda19,523,21967,23,18,16,2,0
app/src/main/java/com/example/mynotes/viewmodel/SettingsViewModel.kt,6890b79306855a674d337a92316af76de3986fc96f44651fe8e54041dfe910a9,303,10972,10,55,54,1,0
app/src/main/java/com/example/mynotes/widget/FavoritesWidgetProvider.kt,06a28b27157d6fade78c977a809890de5366125bc3fe994a33e466e8bd6e0d53,103,6501,13,1,0,1,34
app/src/main/java/com/example/mynotes/widget/FocusNoteWidgetProvider.kt,c245da786b39799731847ab11b371c235110cb117d795793735a6c73a5d94dbd,93,7242,11,1,0,1,61
app/src/main/java/com/example/mynotes/widget/MyNotesWidgetUpdater.kt,c9002312cabccf9a1b2744d0f4e2ab69dac33d1bea40e723b59ec39dfc604a6a,65,2408,6,3,2,1,0
app/src/main/java/com/example/mynotes/widget/QuickNoteWidgetProvider.kt,0a537061d639aab8528197a80831a667935dd0ca81f63baca2885d7fec3d5b10,45,2906,9,1,0,1,21
app/src/main/java/com/example/mynotes/widget/RecentNotesWidgetProvider.kt,2d4cda8ead1872b77c85c11cd06e98532ccdf625b45ece3b72054c0b5ca6c0a3,107,6629,13,1,0,1,38
app/src/main/java/com/example/mynotes/widget/WidgetActionReceiver.kt,f4119fe7bdf5b806c33aee9f043d020b0e4a39175debbca8ccf80d55ad057279,37,1366,8,1,0,1,0
app/src/main/java/com/example/mynotes/widget/WidgetActions.kt,e96b5d6ae6fda8cb2424a6db5efa40f9cbe7bc4dab4de8d49450eb051c995b2f,22,959,0,1,0,1,0
app/src/main/java/com/example/mynotes/widget/WidgetIntents.kt,6699c32c4694794462bbea7ee6c9367655e8c1a09c05cbb0b1b487c0560b58bc,78,3561,5,8,7,1,0
app/src/main/java/com/example/mynotes/widget/WidgetLocale.kt,b1ad100c06b36528e9ef782ebe2130783ff012838223e0b1e43a66a675fc09ba,49,1848,3,4,3,1,0
app/src/main/java/com/example/mynotes/widget/WidgetMediaPreview.kt,ce79e30686a95596cddb2bdc10100bba9e11a44cee318ba5349ca99a35cde675,142,5993,13,10,9,1,0
app/src/main/java/com/example/mynotes/widget/WidgetPresentation.kt,ad2a216a39e371194d99cdd6f7d7551a0a5c84390daa9bc4abc511c3f0e0957a,264,12313,11,15,13,2,43
app/src/test/java/com/example/mynotes/ExampleUnitTest.kt,4be77c1c9460e6c4dcfd772f14ec189b7000b826363740951f1858c12a9a3d86,17,344,2,2,1,1,0
app/src/test/java/com/example/mynotes/SettingsSectionColorsTest.kt,e2dccc0e0e4d162da41d9446f597bd43d15e7d76c39f09f3ea791ec067d90e2f,43,1909,7,5,4,1,0
